what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1400346835053
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346835645
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346842637
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346842657
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346845113
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346845145
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346846403
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1400346848066
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1400346850234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1400346851066
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346852780
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346853332
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1400346853344
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1400346854976
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346857408
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346862982
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346863002
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346872364
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346872394
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346875404
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346875452
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346877430
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346877493
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346879392
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346879402
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346881662
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346881761
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346885122
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346885162
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346887160
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346887190
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346890924
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1400346893869
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1400346895123
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1400346895223
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1400346900857
opened,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1400346921777
opened,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.VariableView",1400346921921
activated,perspective,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugPerspective",1400346921981
opened,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.BreakpointView",1400346922875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346927355
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400346931475
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1400346933125
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepInto",1400346934097
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1400346934217
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1400346934889
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1400346935129
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1400346935341
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1400346935533
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1400346935733
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1400346935913
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1400346936133
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1400346936333
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1400346936554
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1400346936794
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1400346937808
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1400346938148
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepOver",1400346938620
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.StepInto",1400346940284
